"Species","Year","Region","Biomass"
"sockeye",1968,"WAK",26149
"sockeye",1969,"WAK",56206
"sockeye",1970,"WAK",108853
"sockeye",1971,"WAK",53529
"sockeye",1972,"WAK",22020
"sockeye",1973,"WAK",14249
"sockeye",1974,"WAK",33403
"sockeye",1975,"WAK",65900
"sockeye",1976,"WAK",39678
"sockeye",1977,"WAK",36196
"sockeye",1978,"WAK",64993
"sockeye",1979,"WAK",122986
"sockeye",1980,"WAK",178308
"sockeye",1981,"WAK",115722
"sockeye",1982,"WAK",80713
"sockeye",1983,"WAK",133592
"sockeye",1984,"WAK",118936
"sockeye",1985,"WAK",106864
"sockeye",1986,"WAK",79007
"sockeye",1987,"WAK",92192
"sockeye",1988,"WAK",73950
"sockeye",1989,"WAK",133810
"sockeye",1990,"WAK",139283
"sockeye",1991,"WAK",123613
"sockeye",1992,"WAK",137753
"sockeye",1993,"WAK",154011
"sockeye",1994,"WAK",142838
"sockeye",1995,"WAK",171336
"sockeye",1996,"WAK",120062
"sockeye",1997,"WAK",61494
"sockeye",1998,"WAK",55070
"sockeye",1999,"WAK",118333
"sockeye",2000,"WAK",96206
"sockeye",2001,"WAK",73842
"sockeye",2002,"WAK",54505
"sockeye",2003,"WAK",77376
"sockeye",2004,"WAK",123506
"sockeye",2005,"WAK",121879
"sockeye",2006,"WAK",113620
"sockeye",2007,"WAK",118717
"sockeye",2008,"WAK",111719
"sockeye",2009,"WAK",118368
"sockeye",2010,"WAK",109115
"sockeye",2011,"WAK",91533
"sockeye",2012,"WAK",85307
"sockeye",2013,"WAK",74062
"sockeye",2014,"WAK",112092
"sockeye",2015,"WAK",152184
"sockeye",1952,"SPen",1096
"sockeye",1953,"SPen",1780
"sockeye",1954,"SPen",1441
"sockeye",1955,"SPen",2096
"sockeye",1956,"SPen",3742
"sockeye",1957,"SPen",2140
"sockeye",1958,"SPen",1701
"sockeye",1959,"SPen",2176
"sockeye",1960,"SPen",3242
"sockeye",1961,"SPen",1983
"sockeye",1962,"SPen",2219
"sockeye",1963,"SPen",2431
"sockeye",1964,"SPen",2380
"sockeye",1965,"SPen",3035
"sockeye",1966,"SPen",2278
"sockeye",1967,"SPen",2875
"sockeye",1968,"SPen",5145
"sockeye",1969,"SPen",2858
"sockeye",1970,"SPen",7053
"sockeye",1971,"SPen",6770
"sockeye",1972,"SPen",2927
"sockeye",1973,"SPen",6185
"sockeye",1974,"SPen",4578
"sockeye",1975,"SPen",3107
"sockeye",1976,"SPen",6965
"sockeye",1977,"SPen",11013
"sockeye",1978,"SPen",8549
"sockeye",1979,"SPen",5673
"sockeye",1980,"SPen",4236
"sockeye",1981,"SPen",8957
"sockeye",1982,"SPen",8331
"sockeye",1983,"SPen",9409
"sockeye",1984,"SPen",12606
"sockeye",1985,"SPen",4892
